Name,Team,Sport,num_medals,Gold_Medals,Silver_Medals,Bronze_Medals
"Josef "Pepi"" Bader"","West Germany-1",Bobsleigh,2,0,2,0
"Antanas Bagdonaviius","Soviet Union",Rowing,2,0,1,1
"Nathan Baggaley",Australia,Canoeing,2,0,2,0
"Shannon Deanne Bahrke","United States","Freestyle Skiing",2,0,1,1
"Christina "Chris"" Bailey"","United States","Ice Hockey",2,1,1,0
"Donovan Bailey",Canada,Athletics,2,2,0,0
"Kemar Bailey-Cole",Jamaica,Athletics,2,2,0,0
"Sandrine Bailly",France,Biathlon,2,0,1,1
"Angie Lee Bainbridge",Australia,Swimming,2,1,1,0
"Kroly Bajk",Hungary,Wrestling,2,0,0,2
"Kathleen Baker","United States",Swimming,2,1,1,0
"Laurie Baker (-Mutch)","United States","Ice Hockey",2,1,1,0
"Pter Bakonyi (Buchwald-)",Hungary,Fencing,2,0,0,2
"Anioara Blan-Dobre",Romania,Rowing,2,0,1,1
"Iolanda Bala (-Ster)",Romania,Athletics,2,2,0,0
"Andrey Vasilyevich Balashov","Soviet Union",Sailing,2,0,1,1
"Roman Vladimirovich Balashov",Russia,"Water Polo",2,0,1,1
"Ledys Frank Balceiro Pajn",Cuba,Canoeing,2,0,2,0
"Baldo Baldi",Italy,Fencing,2,2,0,0
"Ivano Bali",Croatia,Handball,2,1,0,1
"Jzsef Balla",Hungary,Wrestling,2,0,2,0
"Daniel Ballart Sans",Spain,"Water Polo",2,1,1,0
"Voldimars "Valdemar"" Bandolowski"",Denmark,Sailing,2,2,0,0
"Bang Su-Hyeon","South Korea",Badminton,2,1,1,0
"Carina Br",Germany,Rowing,2,1,1,0
"Tullio Baraglia",Italy,Rowing,2,0,1,1
"Istvn Brny",Hungary,Swimming,2,0,1,1
"Paul Jason Barber","Great Britain",Hockey,2,1,0,1
"Raymond James "Ray"" Barbuti"","United States",Athletics,2,2,0,0
"Anders Bardal",Norway,"Ski Jumping",2,0,0,2
"Maurice Charles Adolphe Bardonneau",France,Cycling,2,0,2,0
"Hakon Barfod",Pan,Sailing,2,2,0,0
"Nigel Chase Barker",Australia,Athletics,2,0,0,2
"Charles Wade Barkley","United States",Basketball,2,2,0,0
"Valrie Gisele Angele Barlois-Mevel-Leroux",France,Fencing,2,1,1,0
"Jennifer-Kirsten Barnes",Canada,Rowing,2,2,0,0
"Patrick Gerard "Paddy"" Barnes"",Ireland,Boxing,2,0,0,2
"Eric Randolph "Randy"" Barnes"","United States",Athletics,2,1,1,0
"Bengt Baron",Sweden,Swimming,2,1,0,1
"Khasan Makharbekovich Baroyev",Russia,Wrestling,2,1,1,0
"Alexandra Barr (Sandor-)",Canada,Canoeing,2,0,1,1
"Frederick Whitfield Barrett","Great Britain",Polo,2,1,0,1
"Peter Jones Barrett","United States",Sailing,2,1,1,0
"Herbert Roper Barrett","Great Britain-1",Tennis,2,1,1,0
"Mara Noel Barrionuevo",Argentina,Hockey,2,0,1,1
"David Barrufet Bofill",Spain,Handball,2,0,0,2
"Mutaz Essa Barshim",Qatar,Athletics,2,0,1,1
"Dino Barsotti",Italy,Rowing,2,0,2,0
"Jacob Jepsen Barse",Denmark,Rowing,2,0,1,1
"Istvn Barta (Berger)",Hungary,"Water Polo",2,1,1,0
"Martina Maria Anna Antonia "Tineke"" Bartels-de Vries"",Netherlands,Equestrianism,2,0,2,0
"Leonid Volodymyrovych Barteniev","Soviet Union",Athletics,2,0,2,0
"Robert Bartko",Germany,Cycling,2,2,0,0
"Alison Bartosik","United States","Synchronized Swimming",2,0,0,2
"Jan Brt",Czechoslovakia,"Modern Pentathlon",2,0,1,1
"Olga Fyodorovna Barysheva-Korostelyova","Soviet Union",Basketball,2,2,0,0
"Aleksandr Georgiyevich Baryshnikov","Soviet Union",Athletics,2,0,1,1
"Mirko Bai",Yugoslavia,Handball,2,1,0,1
"Giulio Basletta",Italy,Fencing,2,1,0,1
"Lanny Robert Bassham","United States",Shooting,2,1,1,0
"Waldemar Romuald Baszanowski",Poland,Weightlifting,2,2,0,0
"Stephen James "Steve"" Batchelor"","Great Britain",Hockey,2,1,0,1
"Vladimir Batez","Serbia and Montenegro",Volleyball,2,1,0,1
"Walter Bathe",Germany,Swimming,2,2,0,0
"Thomas Sydney Battersby","Great Britain",Swimming,2,0,1,1
"Stefano Battistelli",Italy,Swimming,2,0,0,2
"Yelena Nikolayevna Batukhtina-Tyurina",Russia,Volleyball,2,0,2,0
"Mavlet Alavdinovich Batyrov",Russia,Wrestling,2,2,0,0
"Sabine Christiane Bau","West Germany",Fencing,2,1,1,0
"Alexander "Alex"" Baumann"",Canada,Swimming,2,2,0,0
"Hans-Jrgen Bumler",Germany-1,"Figure Skating",2,0,2,0
"Florence  Andre Isabelle Baverel-Robert",France,Biathlon,2,1,0,1
"Ryan Neville Bayley",Australia,Cycling,2,2,0,0
"Mithat Bayrak",Turkey,Wrestling,2,2,0,0
"Rvn Bayramov",Azerbaijan,Wrestling,2,0,2,0
"Gemma Beadsworth",Australia,"Water Polo",2,0,0,2
"Dsir Beaurain",Belgium,Fencing,2,0,1,1
"Robin Mary Beauregard","United States","Water Polo",2,0,1,1
"Francis Joseph Edmund "Frank"" De Beaurepaire"",Australasia,Swimming,2,0,1,1
"Jos Roberto "Bebeto"" Gama de Oliveira"",Brazil,Football,2,0,1,1
"Milivoj Bebi",Yugoslavia,"Water Polo",2,1,1,0
"Anna Rose Bebington-Watkins","Great Britain",Rowing,2,1,0,1
"Sylvie Becaert",France,Biathlon,2,0,1,1
"Luigi Beccali",Italy,Athletics,2,1,0,1
"Laura Bechtolsheimer (-Tomlinson)","Great Britain",Equestrianism,2,1,0,1
"Robert Lee "Bob"" Beck"","United States","Modern Pentathlon",2,0,0,2
"Volker Beck","East Germany",Athletics,2,1,1,0
"Otto Becker",Germany,Equestrianism,2,1,0,1
"Sabine Becker","East Germany","Speed Skating",2,0,1,1
"Gudrun Beckmann","West Germany",Swimming,2,0,0,2
"Joseph Beerli",Switzerland-2,Bobsleigh,2,1,1,0
"Dale Begg-Smith",Australia,"Freestyle Skiing",2,1,1,0
"Adriana Brando Behar",Brazil-1,"Beach Volleyball",2,0,2,0
"Kurt Edward Behrens",Germany,Diving,2,0,1,1
"Melanie Behringer",Germany,Football,2,1,0,1
"Roswitha Beier (-Sonntag)","East Germany",Swimming,2,0,2,0
"Elizabeth Lyon Beisel","United States",Swimming,2,0,1,1
"Sofia Bekatorou (-Kosmatopoulos)",Greece,Sailing,2,1,0,1
"Aleksandr Vladimirovich Beketov",Russia,Fencing,2,1,1,0
"Daniel Wepener "Daan"" Bekker"","South Africa",Boxing,2,0,1,1
"Mathew Belcher",Australia,Sailing,2,1,1,0
"Valeri Belenki","Unified Team",Gymnastics,2,1,0,1
"Semyon Viktorovich Belits-Geyman","Soviet Union",Swimming,2,0,1,1
"Lynette "Lyn"" Bell (-Chipchase)"",Australia,Swimming,2,0,2,0
"Kacey Lee Bellamy","United States","Ice Hockey",2,0,2,0
"Helmut Ernesto Bellingrodt Wolf",Colombia,Shooting,2,0,2,0
"Antonella Bellutti",Italy,Cycling,2,2,0,0
"Sergey Alekseyevich Beloglazov","Soviet Union",Wrestling,2,2,0,0
"Lyudmila Yevgenevna Belousova (-Protopopova)","Soviet Union-1","Figure Skating",2,2,0,0
"Aleksandr Aleksandrovich Belov","Soviet Union",Basketball,2,1,0,1
"Yelena Pavlovna Belova (-Kalyanova)","Unified Team",Biathlon,2,0,0,2
"Daima Mayelis Beltrn Guisado",Cuba,Judo,2,0,2,0
"David Sagitovich Belyavsky",Russia,Gymnastics,2,0,1,1
"Sergey Nikolayevich Belyayev",Kazakhstan,Shooting,2,0,2,0
"Emil Benecke",Germany,"Water Polo",2,1,1,0
"Gbor Benedek",Hungary,"Modern Pentathlon",2,1,1,0
"Edward Benedicks",Sweden,Shooting,2,0,2,0
"Andrea Benelli",Italy,Shooting,2,1,0,1
"Per-Inge Bengtsson",Sweden,Canoeing,2,0,2,0
"Rolf-Gran Bengtsson",Sweden,Equestrianism,2,0,2,0
"Stanley Delong "Stan"" Benham"","United States-1",Bobsleigh,2,0,2,0
"Hasna Benhassi",Morocco,Athletics,2,0,1,1
"Charles Bennett","Great Britain",Athletics,2,1,1,0
"Michael John "Mick"" Bennett"","Great Britain",Cycling,2,0,0,2
"Carina Marguerite Benninga",Netherlands,Hockey,2,1,0,1
"Josef "Sepp"" Benz"",Switzerland-1,Bobsleigh,2,0,1,1
"Josef "Sepp"" Benz"",Switzerland-2,Bobsleigh,2,1,1,0
"Gheorghe Berceanu",Romania,Wrestling,2,1,1,0
"Oleksandr Mykolaiovych Beresh",Ukraine,Gymnastics,2,0,1,1
"Yury Viktorovich Berezhko",Russia,Volleyball,2,1,0,1
"Liubov Ivanivna Berezhna-Odynokova","Soviet Union",Handball,2,2,0,0
"Aina Berg (-Brolin  -Heinze)",Sweden,Swimming,2,0,0,2
"Aki-Petteri Arvid "Aki"" Berg"",Finland,"Ice Hockey",2,0,1,1
"Eero Edvin Berg",Finland,Athletics,2,1,0,1
"Lindsey Napela Berg","United States",Volleyball,2,0,2,0
"Tore Berger",Norway,Canoeing,2,1,0,1
"Patrice Bergeron-Cleary",Canada,"Ice Hockey",2,2,0,0
"Evy Margareta Berggren (-Westerberg)",Sweden,Gymnastics,2,1,1,0
"Bo Abel Berglund",Sweden,"Ice Hockey",2,0,0,2
"Erik Gustaf Bergqvist",Sweden,"Water Polo",2,0,1,1
"Pr Jonas Bergqvist",Sweden,"Ice Hockey",2,1,0,1
"Jacob Jorrit Bergsma",Netherlands,"Speed Skating",2,1,0,1
"Lobke Berkhout",Netherlands,Sailing,2,0,1,1
"Aleksandr Nikolayevich Berkutov","Soviet Union",Rowing,2,1,1,0
"Per Gunnar Brje Berlin",Sweden,Wrestling,2,0,1,1
"Yanet Bermoy Acosta",Cuba,Judo,2,0,2,0
"Joseph "Jo"" Bernardo Garcia Rodriguez Marinelli"",France,Swimming,2,0,0,2
"Gilles Berolatti",France,Fencing,2,1,0,1
"Arthur Berry","Great Britain",Football,2,2,0,0
"Franco Bertinetti",Italy,Fencing,2,2,0,0
"Doina Ofelia Beliu-Melinte",Romania,Athletics,2,1,1,0
"Gregory Alan "Greg"" Best"","United States",Equestrianism,2,0,2,0
"Nataliya Filimonovna Bestemyanova (-Bobrina)","Soviet Union-1","Figure Skating",2,1,1,0
"Hermann Betschart",Switzerland,Rowing,2,0,1,1
"Samuel Ryan "Sam"" Bewley"","New Zealand",Cycling,2,0,0,2
"Jos Beyaert",France,Cycling,2,1,0,1
"Udo Beyer","East Germany",Athletics,2,1,0,1
"Ina Beyermann","West Germany",Swimming,2,0,1,1
"Hanna Volodymyrivna Bezsonova",Ukraine,"Rhythmic Gymnastics",2,0,0,2
"Kulbir Singh Bhaura","Great Britain",Hockey,2,1,0,1
"Ivan Ivanovych Biakov","Soviet Union",Biathlon,2,2,0,0
"Diana Bianchedi",Italy,Fencing,2,2,0,0
"Pietro Bianchi",Italy,Gymnastics,2,2,0,0
"Dariusz Edward Biakowski",Poland,Canoeing,2,0,0,2
"Yuliya Valentinovna Bichik",Belarus,Rowing,2,0,0,2
"Sebastian Friedrich Felix Biederlack",Germany,Hockey,2,1,0,1
"Oleksandr Mykhailovych Bielostienniy","Soviet Union",Basketball,2,1,0,1
"Laryssa Biesenthal",Canada,Rowing,2,0,0,2
"Abebe Bikila",Ethiopia,Athletics,2,2,0,0
"John Arthur Biller","United States",Athletics,2,0,1,1
"Alexandre "Alex"" Bilodeau"",Canada,"Freestyle Skiing",2,2,0,0
"Zinetula Khaidarovich Bilyaletdinov","Soviet Union","Ice Hockey",2,1,1,0
"Emanuele Birarelli",Italy,Volleyball,2,0,1,1
"Halvor Birch",Denmark,Gymnastics,2,0,1,1
"Ole Bischof",Germany,Judo,2,1,1,0
"Matteo Bisiani",Italy,Archery,2,0,1,1
"Paul Ezekiel Bitok",Kenya,Athletics,2,0,2,0
"Klaus Bittner",Germany,Rowing,2,1,1,0
"ura "urica"" Bjedov"",Yugoslavia,Swimming,2,1,1,0
"Nils Torolf Bjrklf",Finland,Canoeing,2,0,0,2
"Carl August Bjrkman",Sweden,Shooting,2,1,0,1
"Lars Bjnnes",Norway,Rowing,2,0,2,0
"Lawrence Jeffery "Larry"" Black"","United States",Athletics,2,1,1,0
"Frdric Blackburn",Canada,"Short Track Speed Skating",2,0,2,0
"Yordanka Blagoeva Ivanova",Bulgaria,Athletics,2,0,1,1
"Elisa Blanchi",Italy,"Rhythmic Gymnastics",2,0,1,1
"Armand Blanchonnet",France,Cycling,2,2,0,0
"Peter Blang",Netherlands,Volleyball,2,1,1,0
"Leszek Robert Blanik",Poland,Gymnastics,2,1,0,1
"Claudia Blasberg",Germany,Rowing,2,0,2,0
"Keston Bledman","Trinidad and Tobago",Athletics,2,1,1,0
"Aleksandr Ivanovich Blinov","Soviet Union",Equestrianism,2,1,1,0
"Maurice Jean Blitz",Belgium,"Water Polo",2,0,2,0
"Irina Valeryevna Bliznova",Russia,Handball,2,1,1,0
"Anastasiya Ilyinichna Bliznyuk",Russia,"Rhythmic Gymnastics",2,2,0,0
"Stefan Blcher","West Germany",Hockey,2,0,2,0
"Herbert Blcker",Germany,Equestrianism,2,0,1,1
"Oleh Volodymyrovych Blokhin","Soviet Union",Football,2,0,0,2
"Erik Gustaf Blomqvist",Sweden,Shooting,2,1,0,1
"Pernille Blume",Denmark,Swimming,2,1,0,1
"Leszek Bayski",Poland,Boxing,2,0,0,2
"Christopher Miles "Chris"" Boardman"","Great Britain",Cycling,2,1,0,1
"Stjepan Bobek",Yugoslavia,Football,2,0,2,0
"Jack Bobridge",Australia,Cycling,2,0,2,0
"Liudmyla Kostiantynivna Bobrus-Poradnyk","Soviet Union",Handball,2,2,0,0
"Giorgio Bocchino",Italy,Fencing,2,1,0,1
"Nataliya Valeryevna Bochina","Soviet Union",Athletics,2,0,2,0
"Conrad Helmut Fritz Bcker",Germany,Gymnastics,2,2,0,0
"Wilhelm Richard "Willy"" Bckl"",Austria,"Figure Skating",2,0,2,0
"Gbor Gyula Boczk",Hungary,Fencing,2,0,1,1
"Margot Madeleine Boer",Netherlands,"Speed Skating",2,0,0,2
"Andries Cornelis Dirk "Andr"" Boerstra"",Netherlands,Hockey,2,0,1,1
"Anna Ivanovna Bogaly-Titovets",Russia,Biathlon,2,2,0,0
"Anatoly Ivanovich Bogdanov","Soviet Union",Shooting,2,2,0,0
"Krasimira Nikolova Bogdanova",Bulgaria,Basketball,2,0,1,1
"Aleksandr Viktorovich Bogdanovich",Belarus,Canoeing,2,1,1,0
"Andrey Viktorovich Bogdanovich",Belarus,Canoeing,2,1,1,0
"Stefanie Bhler",Germany,"Cross Country Skiing",2,0,1,1
"Thomas Robert Tom Bohrer","United States",Rowing,2,0,2,0
"Victor Charles Gustave Boin",Belgium,"Water Polo",2,0,1,1
"Jean Auguste Boiteux",France,Swimming,2,1,0,1
"Jrgen Bojsen-Mller",Denmark,Sailing,2,1,0,1
"Harry Boldt",Germany,Equestrianism,2,1,1,0
"Harry Boldt","West Germany",Equestrianism,2,1,1,0
"John Keith Boles","United States",Shooting,2,1,0,1
"Maria Yolande Caroline Gertrude "Marjolein"" Bolhuis-Eijsvogel"",Netherlands,Hockey,2,1,0,1
"Alice Ruth "Ruthie"" Bolton-Holifield"","United States",Basketball,2,2,0,0
"Antal Bolvri",Hungary,"Water Polo",2,2,0,0
"Ozren Bonai",Yugoslavia,"Water Polo",2,1,1,0
"Hamish Byron Bond","New Zealand",Rowing,2,2,0,0
"Anatoliy Pavlovych Bondarchuk","Soviet Union",Athletics,2,1,0,1
"Aleksey Petrovich Bondarenko",Russia,Gymnastics,2,0,1,1
"Carl Gustaf Bonde",Sweden,Equestrianism,2,1,1,0
"Ren Henri Georges Bondoux",France,Fencing,2,1,1,0
"Gerd Bonk","East Germany",Weightlifting,2,0,1,1
"Cristina Bonta (-Ttaru)",Romania,Gymnastics,2,0,1,1
"Petronella Theodora Maria "Ellen"" Bontje"",Netherlands,Equestrianism,2,0,2,0
"Ageeth Boomgaardt",Netherlands,Hockey,2,0,1,1
"Manut Boonjumnong",Thailand,Boxing,2,1,1,0
"Mitchell Jay "Mitch"" Booth"",Australia,Sailing,2,0,1,1
"Carlos Austin Boozer  Jr.","United States",Basketball,2,1,0,1
"Katrin Borchert",Australia,Canoeing,2,0,0,2
"Erich Borchmeyer",Germany,Athletics,2,0,1,1
"Iosif Boro",Romania,Handball,2,0,0,2
"Paul Borowski","East Germany",Sailing,2,0,1,1
"Gaydarbek Abdulayevich Gaydarbekov",Russia,Boxing,2,1,1,0
"Aleksandr Vasilyevich Gazov","Soviet Union",Shooting,2,1,0,1
"Ge Fei",China-2,Badminton,2,2,0,0
"Michael William "Mike"" Gebhardt"","United States",Sailing,2,0,1,1
"Haile Gebrselassie",Ethiopia,Athletics,2,2,0,0
"Carolina Cornelia Catharina "Carry"" Geijssen (-Langkruis)"",Netherlands,"Speed Skating",2,1,1,0
"Nataliya Nikolayevna Gelakh",Belarus,Rowing,2,0,0,2
"Alphonse Gemuseus",Switzerland,Equestrianism,2,1,1,0
"Pascal Guy Gentil",France,Taekwondo,2,0,0,2
"Bevan Christopher George",Australia,Hockey,2,1,0,1
"James D. "Jim"" George"","United States",Weightlifting,2,0,1,1
"Pierre Lon Gaston Georget",France,Cycling,2,0,1,1
"Oszkr Gerde",Hungary,Fencing,2,2,0,0
"Gyrgy Gerends",Hungary,"Water Polo",2,1,0,1
"Pl Gerevich",Hungary,Fencing,2,0,0,2
"Mathilde "Hilde"" Gerg (-Gral)"",Germany,"Alpine Skiing",2,1,0,1
"Istvn Gergely",Hungary,"Water Polo",2,2,0,0
"Friedrich Wilhelm Gerhard",Germany,Equestrianism,2,1,1,0
"Andrija Geri","Serbia and Montenegro",Volleyball,2,1,0,1
"Bernhard Germeshausen","East Germany-2",Bobsleigh,2,1,1,0
"Bernhard Germeshausen","East Germany-1",Bobsleigh,2,2,0,0
"Hans-Jrgen Geschke","East Germany",Cycling,2,0,1,1
"Ryan Getzlaf",Canada,"Ice Hockey",2,2,0,0
"Ernest Jules Henri Jean Marie Gevers",Belgium,Fencing,2,0,2,0
"Ute Geweniger (-Strauss)","East Germany",Swimming,2,2,0,0
"Matthias Gey","West Germany",Fencing,2,0,2,0
"Arnaud Pascal Geyre",France,Cycling,2,1,1,0
"Komeil Nemat Ghasemi",Iran,Wrestling,2,0,1,1
"Marin Gheorghe",Romania,Rowing,2,0,2,0
"Csaba Giczy",Hungary,Canoeing,2,0,1,1
"Daniel Giger",Switzerland,Fencing,2,0,1,1
"Nicolas Gill",Canada,Judo,2,0,1,1
"John David "Dave"" Gillanders"","United States",Swimming,2,1,0,1
"Bertrand Fabien Gille",France,Handball,2,2,0,0
"Guillaume Alain Gille",France,Handball,2,2,0,0
"Nicholas "Nick"" Gillingham"","Great Britain",Swimming,2,0,1,1
"William Evans Garrett Gilmore","United States",Rowing,2,1,1,0
"Nailya Fayzrakhmanovna Gilyazova","Soviet Union",Fencing,2,1,1,0
"Emanuel David "Manu"" Ginbili Maccari"",Argentina,Basketball,2,1,0,1
"Salvatore Gionta",Italy,"Water Polo",2,1,0,1
"Giovane Farinazzo Gvio",Brazil,Volleyball,2,2,0,0
"Luciano Giovannetti",Italy,Shooting,2,2,0,0
"Girolamo Giovinazzo",Italy,Judo,2,0,1,1
"Gir Yeong-A","South Korea-1",Badminton,2,1,0,1
"Marc Girardelli",Luxembourg,"Alpine Skiing",2,0,2,0
"Niccol Gitto",Italy,"Water Polo",2,0,1,1
"Egil Gjelland",Norway,Biathlon,2,1,1,0
"Alv Gjestvang",Norway,"Speed Skating",2,0,1,1
"Jasmin Glaesser",Canada,Cycling,2,0,0,2
"Jonathan "Joe"" Glanfield"","Great Britain",Sailing,2,0,2,0
"Brian Alan Glencross",Australia,Hockey,2,0,1,1
"Helen Rachel M. Glover","Great Britain",Rowing,2,2,0,0
"Gyula Glykais",Hungary,Fencing,2,2,0,0
"Go Gi-Hyeon","South Korea","Short Track Speed Skating",2,1,1,0
"Henry Maurice Andr Gobert",France,Tennis,2,2,0,0
"Beverley Lanita "Bev"" Goddard-Callender"","Great Britain",Athletics,2,0,0,2
"Maartje Goderie",Netherlands,Hockey,2,2,0,0
"John Carl Godina","United States",Athletics,2,0,1,1
"Thomas Charles "Tommy"" Godwin"","Great Britain",Cycling,2,0,0,2
"Alfred Goeldel-Bronikoven",Germany,Shooting,2,0,1,1
"Giorgi Gogshelidze",Georgia,Wrestling,2,0,0,2
"Christine Marion Elisabeth Goitschel (-Branger)",France,"Alpine Skiing",2,1,1,0
"Susann Goksr-Bjerkrheim",Norway,Handball,2,0,1,1
"Nadka Vangelova Golcheva",Bulgaria,Basketball,2,0,1,1
"Natalie Golda (-Benson)","United States","Water Polo",2,0,1,1
"Andreas "Andi"" Goldberger"",Austria,"Ski Jumping",2,0,0,2
"Scott Daniel Goldblatt","United States",Swimming,2,1,1,0
"Bohumil Golian",Czechoslovakia,Volleyball,2,0,1,1
"Jozef Golonka",Czechoslovakia,"Ice Hockey",2,0,1,1
"Anton Sergeyevich Golotsutskov",Russia,Gymnastics,2,0,0,2
"Slavko Golua",Croatia,Handball,2,2,0,0
"Rolf Glz","West Germany",Cycling,2,0,1,1
"Salvador Emilio Gmez Agera",Spain,"Water Polo",2,1,1,0
"Sergey Viktorovich Gonchar",Russia,"Ice Hockey",2,0,1,1
"Oleg Georgiyevich Goncharenko","Soviet Union","Speed Skating",2,0,0,2
"Jozef Gnci",Slovakia,Shooting,2,0,0,2
"Lajos Gnczy (Grn-)",Hungary,Athletics,2,0,1,1
"Gong Jinjie",China,Cycling,2,1,1,0
"Joel Gonzlez Bonilla",Spain,Taekwondo,2,1,0,1
"Mariana Alejandra Gonzlez Oliva Gulla",Argentina,Hockey,2,0,0,2
"Norberto Gonzlez Miranda",Cuba,Baseball,2,1,1,0
"Ral Gonzlez Rodrguez",Mexico,Athletics,2,1,1,0
"Brian Stuart Goodell","United States",Swimming,2,2,0,0
"Duncan Alexander Goodhew","Great Britain",Swimming,2,1,0,1
"Leo Joseph "Budd"" Goodwin"","United States",Swimming,2,0,0,2
"Nina Yuryevna Gopova-Trofimova","Soviet Union",Canoeing,2,1,1,0
"Vilm Ladislav Jan Goppold z Lobsdorfu  Sr.",Bohemia,Fencing,2,0,0,2
"Yelena Yegorovna Gorchakova","Soviet Union",Athletics,2,0,0,2
"Fortune Everett Gordien","United States",Athletics,2,0,1,1
"Lalonde Keida Gordon","Trinidad and Tobago",Athletics,2,0,0,2
"Elisabeth Grgl",Austria,"Alpine Skiing",2,0,0,2
"Jerzy Pawe Gorgo",Poland,Football,2,1,1,0
"Giorgio Gorla",Italy,Sailing,2,0,0,2
"James Edward "Jim"" Gorman"","United States",Shooting,2,1,0,1
"Shelley Ann Gorman-Sandie",Australia,Basketball,2,0,1,1
"Vyacheslav Nikolayevich Gorpishin",Russia,Handball,2,1,0,1
"Dmitry Georgiyevich Gorshkov",Russia,"Water Polo",2,0,1,1
"Janusz Kazimierz Gortat",Poland,Boxing,2,0,0,2
"Donald Alexander "Sandy"" Goss"",Canada,Swimming,2,0,2,0
"Marianne Gossweiler (-Fankhauser)",Switzerland,Equestrianism,2,0,1,1
"Renate Gtschl",Austria,"Alpine Skiing",2,0,1,1
"Max Gtze",Germany,Cycling,2,0,2,0
"Westley Gough","New Zealand",Cycling,2,0,0,2
"Jean Goujon",France,Cycling,2,2,0,0
"Matthieu Roger Jean Gourdain",France,Fencing,2,0,2,0
"Yulieski Gourriel Castillo",Cuba,Baseball,2,1,1,0
"Boris Abramovich Goykhman","Soviet Union","Water Polo",2,0,1,1
"Giovanni Gozzi",Italy,Wrestling,2,1,0,1
"Jrgen Nyland Graabak",Norway,"Nordic Combined",2,2,0,0
"Rafael Davidovich Grach","Soviet Union","Speed Skating",2,0,1,1
"Lars Schmidt Grael",Brazil,Sailing,2,0,0,2
"Olga Borisovna Graf",Russia,"Speed Skating",2,0,0,2
"Stefanie Maria "Steffi"" Graf"","West Germany",Tennis,2,1,0,1
"James Robert "Jay"" Graham"","United States",Shooting,2,2,0,0
"Kelvin John Graham",Australia,Canoeing,2,0,0,2
"Lorraine Graham (-Fenton)",Jamaica,Athletics,2,0,2,0
"Winthrop Graham",Jamaica,Athletics,2,0,2,0
"Dieter Grahn","East Germany",Rowing,2,2,0,0
"Catherine Michelle "Cammi"" Granato (-Ferraro)"","United States","Ice Hockey",2,1,1,0
"Margherita Granbassi",Italy,Fencing,2,0,0,2
"Herv Granger-Veyron",France,Fencing,2,0,1,1
"Sergey Yuryevich Grankin",Russia,Volleyball,2,1,0,1
"Dibora Monick Olga "Deborah"" Gravenstijn"",Netherlands,Judo,2,0,1,1
"Carolyn Brand "Carie"" Graves"","United States",Rowing,2,1,0,1
"Pasquale Gravina",Italy,Volleyball,2,0,1,1
"Edgar Laurence "Dunc"" Gray"",Australia,Cycling,2,1,0,1
"Nikola Grbi","Serbia and Montenegro",Volleyball,2,1,0,1
"Vladimir Grbi","Serbia and Montenegro",Volleyball,2,1,0,1
"William F. Grebe","United States",Fencing,2,0,1,1
"Nicholas David "Nick"" Green"",Australia,Rowing,2,2,0,0
"Charles Edward "Charlie"" Greene"","United States",Athletics,2,1,0,1
"Joseph Tilford Lee "Joe"" Greene"","United States",Athletics,2,0,0,2
"Nancy Catherine Greene (-Raine)",Canada,"Alpine Skiing",2,1,1,0
"Oscar Grgoire  Jr.",Belgium,"Water Polo",2,0,1,1
"Horst-Gnter Gregor",Germany,Swimming,2,0,2,0
"Alexander John "Alex"" Gregory"","Great Britain",Rowing,2,2,0,0
"John Gretton  Jr.",Scotia,Sailing,2,2,0,0
"Hans Grieder",Switzerland,Gymnastics,2,1,0,1
"Yolanda Yvette Griffith","United States",Basketball,2,2,0,0
"Cristina Elena Grigora",Romania,Gymnastics,2,1,1,0
"Yury Nikolayevich Grigorovsky","Soviet Union","Water Polo",2,0,2,0
"Vladimir Viktorovich Grigoryev",Russia,"Short Track Speed Skating",2,1,1,0
"Mark R. Grimmette","United States-2",Luge,2,0,1,1
"Oksana Vladimirovna "Pasha"" Grishchuk"",Russia-1,"Figure Skating",2,2,0,0
"Aleksey Gennadyevich Grishin",Belarus,"Freestyle Skiing",2,1,0,1
"Boris Dmitriyevich Grishin","Soviet Union","Water Polo",2,0,1,1
"Yevgeny Borisovich Grishin","Soviet Union","Water Polo",2,1,0,1
"Igor Anatolyevich Grivennikov","Soviet Union",Swimming,2,0,1,1
"Hans Grodotzki",Germany,Athletics,2,0,2,0
"Renate Titzia Groenewold",Netherlands,"Speed Skating",2,0,2,0
"Hindrik Harmannus Arnoldus "Henk"" Grol"",Netherlands,Judo,2,0,0,2
"Rolf Axel Einar Grnberg",Sweden,Wrestling,2,2,0,0
"Kelpo Olavi Grndahl",Finland,Wrestling,2,1,1,0
"Robert Grondelaers",Belgium,Cycling,2,1,1,0
"Chantal Groot",Netherlands,Swimming,2,0,1,1
"Marcus Gro",Germany,Canoeing,2,2,0,0
"Edgar Alain Grospiron",France,"Freestyle Skiing",2,1,0,1
"Madeline Groves",Australia,Swimming,2,0,2,0
"Michael Gruber",Austria,"Nordic Combined",2,1,0,1
"Sylwia Gruchaa",Poland,Fencing,2,0,1,1
"Jzef Grudzie",Poland,Boxing,2,1,1,0
"Gauthier Grumier",France,Fencing,2,1,0,1
"Alfred Grtter",Switzerland,Shooting,2,2,0,0
"Stoyanka Gruycheva-Kurbatova",Bulgaria,Rowing,2,1,0,1
"Roar Grnvold",Norway,"Speed Skating",2,0,2,0
"Gu Jun",China-2,Badminton,2,2,0,0
"Steeve Franois Fabien Gunot",France,Wrestling,2,1,0,1
